Date,Open,High,Low,Close,Volume,SMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,Target,Model_Prediction
2024-05-16,189.0082,189.6334,188.2044,188.383,52845200,175.6266,74.2081,4.9761,3.8032,1.1729,1,1
2024-05-17,188.0556,189.3456,187.7281,188.4128,41282900,176.8717,74.2396,5.1337,4.0693,1.0644,1,1
2024-05-20,187.877,190.4471,187.5594,189.5738,44361300,178.1332,75.4985,5.2912,4.3137,0.9775,1,1
2024-05-21,189.6234,191.2509,189.4547,190.8738,42309400,179.4071,76.8619,5.4581,4.5426,0.9155,0,0
2024-05-22,190.7944,191.3402,188.8098,189.4349,34648500,180.5041,72.0808,5.4118,4.7164,0.6954,0,0
2024-05-23,189.5143,189.5341,185.1977,185.4458,51005900,181.3585,60.7907,4.9957,4.7723,0.2234,1,1
2024-05-24,187.3709,189.1174,186.5968,188.522,36327000,182.3959,65.3038,4.8581,4.7895,0.0687,1,1
2024-05-28,190.0402,191.5188,187.6488,188.5319,52280100,183.2258,65.3177,4.6958,4.7707,-0.0749,1,1
2024-05-29,188.1548,190.7746,188.0556,188.8296,53068000,184.2275,65.7599,4.5388,4.7243,-0.1855,1,1
2024-05-30,189.296,190.7051,189.167,189.8219,49889100,185.33,67.2583,4.4433,4.6681,-0.2249,1,1
2024-05-31,189.9708,191.0921,188.4525,190.7746,75158300,186.2952,68.6756,4.3938,4.6132,-0.2195,1,1
2024-06-03,191.4196,193.4935,191.0425,192.5409,50080500,186.836,71.1676,4.4458,4.5798,-0.1339,1,1
2024-06-04,193.1462,193.821,191.5486,192.8585,47471400,187.4753,71.605,4.4613,4.5561,-0.0948,1,1
2024-06-05,193.9004,195.3889,193.3745,194.3668,54156800,188.1559,73.6496,4.5429,4.5534,-0.0106,0,0
2024-06-06,194.1881,194.9919,192.6798,192.9874,41181800,188.7507,68.7726,4.445,4.5317,-0.0868,1,1
2024-06-07,193.1561,195.4285,192.65,195.3789,53103900,189.3744,72.2087,4.5084,4.5271,-0.0187,0,0
2024-06-10,195.3889,195.7858,190.6753,191.6379,97010200,189.874,60.9166,4.2083,4.4633,-0.255,1,1
2024-06-11,192.1638,205.5701,192.144,205.5602,172373300,190.9095,75.9744,5.0358,4.5778,0.458,1,1
2024-06-12,205.7785,218.5101,205.3121,211.4348,198134300,192.1817,79.554,6.0954,4.8813,1.2141,1,1
2024-06-13,213.092,215.0865,209.9761,212.5958,97862700,193.3983,80.1824,6.9487,5.2948,1.6539,0,0
2024-06-14,212.2088,213.5186,209.6784,210.8592,70122700,194.5221,76.3999,7.3995,5.7157,1.6838,1,1
2024-06-17,211.7325,217.2696,211.0875,215.0071,93728300,195.8518,78.9538,7.9993,6.1725,1.8269,0,0
2024-06-18,215.9201,216.9521,211.3653,212.6454,79943300,197.0054,74.0408,8.1897,6.5759,1.6138,0,0
2024-06-20,212.2882,212.5958,207.2472,208.0708,86172500,197.8652,65.5345,7.8805,6.8368,1.0437,0,0
2024-06-21,208.7753,210.2638,205.5205,205.8976,241805100,198.6883,61.8965,7.3752,6.9445,0.4307,1,1
2024-06-24,206.1258,211.0676,205.0045,206.5426,80727000,199.7432,62.5608,6.9467,6.9449,0.0017,1,1
2024-06-25,207.5448,209.7577,207.009,207.4655,55549700,200.6904,63.5403,6.6054,6.877,-0.2716,1,1
2024-06-26,209.8768,213.211,209.0234,211.6134,66213200,201.8444,67.6382,6.5936,6.8203,-0.2267,1,1
2024-06-27,213.0423,214.0843,210.7203,212.4569,49772700,203.0258,68.4156,6.5765,6.7716,-0.1951,0,0
2024-06-28,214.114,214.4117,208.686,209.0036,82542700,203.9849,61.8633,6.2127,6.6598,-0.4471,1,1
2024-07-01,210.4623,215.8407,210.2936,215.0865,60402900,205.2005,67.7267,6.3421,6.5963,-0.2541,1,1
2024-07-02,214.4911,218.6887,213.4492,218.5795,58046200,206.5024,70.5287,6.6499,6.607,0.0429,1,1
2024-07-03,218.3116,219.8497,217.349,219.8497,37369800,207.852,71.4977,6.9166,6.6689,0.2477,1,1
2024-07-05,219.9489,224.7121,219.9489,224.6029,60412400,209.3638,74.8328,7.4258,6.8203,0.6055,1,1
2024-07-08,225.3472,226.1013,221.5366,226.0716,59085900,211.018,75.776,7.8574,7.0277,0.8297,1,1
2024-07-09,226.1807,227.6394,224.6327,226.925,48076100,212.5953,76.331,8.174,7.257,0.917,1,1
2024-07-10,227.5402,231.2912,227.4906,231.192,62627700,214.573,78.9307,8.6693,7.5394,1.1299,0,0
2024-07-11,229.6142,230.6065,224.0373,225.8235,64710600,215.5862,68.7062,8.5303,7.7376,0.7927,1,1
2024-07-12,227.1631,230.8546,226.9249,228.7707,53046500,216.453,70.9323,8.5593,7.902,0.6574,1,1
2024-07-15,234.6651,235.4094,231.3011,232.6011,62631300,217.4532,73.5644,8.7901,8.0796,0.7105,1,1
2024-07-16,233.1965,234.4567,230.547,233.0179,43234300,218.5612,73.8419,8.9039,8.2445,0.6595,0,0
2024-07-17,227.6891,229.6836,224.9006,227.1234,57345900,219.167,63.6619,8.4215,8.2799,0.1416,0,0
2024-07-18,228.5127,228.6715,220.5642,222.4595,66034600,219.6577,56.9695,7.5754,8.139,-0.5635,1,1
2024-07-19,223.0946,225.0594,221.5664,222.5885,49151500,220.3836,57.1038,6.8365,7.8785,-1.0419,0,0
2024-07-22,225.2678,226.0319,221.3779,222.2412,48201800,221.2007,56.5916,6.152,7.5332,-1.3812,1,1
2024-07-23,222.648,225.1983,220.971,223.2831,39960300,222.0378,57.8141,5.6287,7.1523,-1.5236,0,0
2024-07-24,222.2809,223.0747,215.4636,216.8628,61777600,222.5076,48.7108,4.6424,6.6503,-2.0079,0,0
2024-07-25,217.2498,219.155,212.9728,215.8208,51391200,222.718,47.4063,3.7337,6.067,-2.3333,1,1
2024-07-26,217.0216,217.8055,214.3522,216.2872,41601300,222.9095,48.0766,3.0163,5.4569,-2.4405,1,1
2024-07-29,215.2949,217.6169,214.0942,216.5651,36311800,223.2876,48.4978,2.4421,4.8539,-2.4118,1,1
2024-07-30,217.5078,218.639,214.4613,217.1208,41643800,223.3893,49.382,2.0087,4.2849,-2.2762,1,1
